id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
9860	CPU Intel Core i5 10400 (2.9 GHz turbo up to 4.3 GHz, 6 core 12 Threads , 12MB Cache, 65W) - Full box nhập khẩu	5.0	133	434.0	4080000.0	131	133	0	0	0	0	65	47	gearsvn	4256	233	92	4071	97574980.91411829	4344
9861	Tản nhiệt CPU Cooler Master T400I	4.934426	244	544.0	282000.0	5203	86	2	0	0	1	44	22	3hcomputer	30801	721	82	11117	133885619.82111835	49563
9862	Card màn hình 2Gb GT630 VGA 2GB 128bite	4.853659	164	361.0	480000.0	110	62	0	0	0	2	34	17	tuananh966	4788	175	71	8730	103097783.78811836	1778
9863	CPU PC E8400 cpu Core 2 dual E8400#E8400 - Ruby3939	4.912621	103	507.0	48000.0	37	96	6	0	1	0	48	16	ruby3939393939	800	92	95	3168	27862391.149117947	225
9864	cáp chuyển đổi VGA sang HDMI Có Audio - Hàng chất lượng - VGA TO HDMI	4.735294	170	854.0	65000.0	62	124	9	4	1	6	56	35	phukienmaytinh_banbuon	2447	178	85	9136	85513882.8321302	331
9865	Ram Laptop Hỏng Các đời chưa sửa	5.0	8	452.0	10000.0	2	8	0	0	0	0	6	1	forwin68	5479	665	86	12761	76867324.75913	11859
9866	Quạt Fan Case 12 cm led 7 màu (15 bóng ) RED DRAGON	4.753333	150	774.0	39000.0	5253	90	4	5	0	3	26	20	3hcomputer	30801	721	82	11117	133885625.95812964	49563
9867	RAM Laptop 4Gb DDR3 cũ tháo máy BUS 1333 1600 (Ram Laptop PC3-4G cũ)	4.992337	261	586.0	275000.0	6094	186	2	0	0	0	84	53	linhkienlaptoptnc	10374	285	89	1637	78345178.62911892	9882
9868	Ram Kingston HyperX Fury 8GB (1x8GB) DDR4 Bus 2666Mhz - Mới Bảo hành 36 tháng	4.975	80	193.0	850000.0	62	78	2	0	0	0	42	23	hjkaru_ht3	758	809	98	1487	78865275.12413001	208
9869	1pairsXT60 XT-60 Male Female Bullet Connectors Plugs For RC Lipo Battery	4.897436	39	509.0	6900.0	43	35	0	0	0	1	6	3	relandor.vn	4431	4517	19	None	75469867.18411827	1193
9870	RAM Laptop ⚡ Bảo Hành 3 Năm ⚡ RAM Laptop DDR3 2G/ 4G Bus 1333/ 1600/1600 3L Mới Bảo Hành 3 Năm- Siêu Chất Lượng	4.925926	216	630.0	102000.0	467	205	6	5	0	0	108	58	ducanhcomputer2019	9612	408	84	8202	56110701.18411875	1820
9871	Đế Tản Nhiệt Laptop Máy Tính COOLER N34 - Quạt Tản Nhiệt Laptop Pc Máy Tính	5.0	3	1200.0	379000.0	4	3	0	0	0	0	1	0	ltvnn	112	101	94	478	6003657.5481312275	40
9872	Dây Cáp USB 3.0 / 2.0 ZIN Dùng Cho Ổ Cứng Di Động (HDD BOX)	4.964602	113	635.0	12500.0	24	110	2	1	0	0	29	23	ducanhcomputer2019	9612	408	84	8202	56110703.811118126	1820
9873	Dây HDMI 1,5m zin bóc máy	4.931034	87	686.0	12000.0	25	82	4	1	0	0	25	18	hathangpc	3890	185	97	1470	65170631.40012932	1334
9874	Quạt Fan case 12cm ID-Cooling NO-12015 slim - Nhỏ gọn, PWM, mỏng 15mm	4.976526	213	709.0	93000.0	205	119	2	0	0	0	47	33	trinhkimkhue	5926	321	95	1024	98131915.52213001	2825
9875	Sạc laptop Asus 19V-4.47/3.42/2.37/1.75	4.912088	182	517.0	116620.0	57	172	8	0	0	2	78	50	tinhocthanhnhan	1530	552	95	1845	50839689.33012986	266
