name	category	n_sold	price	shop_address	image_url	url
điện thoại Samsung Galaxy S8 64G 2sim CHÍNH HÃNG mới (Đủ màu)	DIENTHOAI	5100.0	2990000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/0b480cba3b21195d1f0d555a7793d5cb_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Samsung-Galaxy-S8-64G-2sim-CH%C3%8DNH-H%C3%83NG-m%E1%BB%9Bi-(%C4%90%E1%BB%A7-m%C3%A0u)-i.325866827.5758546122
Điện Thoại Vsmart Bee 3 2GB/16GB - Hàng Chính Hãng	DIENTHOAI	896.0	1369000.0	Bến Tre	https://cf.shopee.vn/file/ba601dbe9b971f90f39ebcc32fa83824_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Vsmart-Bee-3-2GB-16GB-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.193124085.6317023710
điện thoại Oppo F9 2sim 64G mới Fullbox	DIENTHOAI	2800.0	2549000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/f174c3971fa16fa4eed2524fb195b1d1_tn	https://shopee.vn/%C4%91i%E1%BB%87n-tho%E1%BA%A1i-Oppo-F9-2sim-64G-m%E1%BB%9Bi-Fullbox-i.52785791.7646235443
Điện thoại iPhone 7 Plus Quốc tế 128GB Mới 99% Bảo Hành 12 Tháng	DIENTHOAI	2900.0	4490000.0	Hà Nội	https://cf.shopee.vn/file/5b3334dcc462342227fb7cc58b3d23ae_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-iPhone-7-Plus-Qu%E1%BB%91c-t%E1%BA%BF-128GB-M%E1%BB%9Bi-99-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.182375752.2894358165
Điện Thoại Samsung Galaxy M21 (64GB/4GB) - Hàng Chính Hãng	DIENTHOAI	1400.0	3990000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/d97a820f52072afa3442fef6baaf805f_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Samsung-Galaxy-M21-(64GB-4GB)-H%C3%A0ng-Ch%C3%ADnh-H%C3%A3ng-i.65589552.4737194401
Điện thoại Vsmart Joy4 (3GB+64GB) - Hàng chính hãng	DIENTHOAI	611.0	2990000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/1043502ee6db0cf3e9731eb862e8c187_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Vsmart-Joy4-(3GB-64GB)-H%C3%A0ng-ch%C3%ADnh-h%C3%A3ng-i.125786401.5555187890
Anten wiffi iphone 6, 6s	DIENTHOAI	36.0	15000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/941e114bd20d529e04e02f341bb02a4f_tn	https://shopee.vn/Anten-wiffi-iphone-6-6s-i.39811414.1420095651
Điện thoại Mini nhỏ gọn 2 sim kết nối blutus	DIENTHOAI	1400.0	59000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/5cf3bba4f81448f4215caa250b88bc6b_tn	https://shopee.vn/%C4%90i%E1%BB%87n-tho%E1%BA%A1i-Mini-nh%E1%BB%8F-g%E1%BB%8Dn-2-sim-k%E1%BA%BFt-n%E1%BB%91i-blutus-i.95642495.1950625875
Điện Thoại Nokia 6300 Đủ Màu Kiểu Dáng Nhỏ Gọn Tiện Lợi	DIENTHOAI	2900.0	320000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/adbec1195e5bf415ad5385ca7a61f9c1_tn	https://shopee.vn/%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-6300-%C4%90%E1%BB%A7-M%C3%A0u-Ki%E1%BB%83u-D%C3%A1ng-Nh%E1%BB%8F-G%E1%BB%8Dn-Ti%E1%BB%87n-L%E1%BB%A3i-i.39413762.3362593622
[HÀNG CHÍNH HÃNG] ĐIỆN THOẠI Nokia 1280 kèm pin sạc có bảo hành 6 THÁNG	DIENTHOAI	282.0	239000.0	Hà Nội	https://cf.shopee.vn/file/1475cf4a9c86a9ab0b838c652dfc2236_tn	https://shopee.vn/-H%C3%80NG-CH%C3%8DNH-H%C3%83NG-%C4%90I%E1%BB%86N-THO%E1%BA%A0I-Nokia-1280-k%C3%A8m-pin-s%E1%BA%A1c-c%C3%B3-b%E1%BA%A3o-h%C3%A0nh-6-TH%C3%81NG-i.158663650.7334679670
Nokia 110i Điện Thoại Nokia 110i Mới Tốt	DIENTHOAI	1400.0	155000.0	TP. Hồ Chí Minh	https://cf.shopee.vn/file/31f0cc085f0d3257fa9b9172258961c7_tn	https://shopee.vn/Nokia-110i-%C4%90i%E1%BB%87n-Tho%E1%BA%A1i-Nokia-110i-M%E1%BB%9Bi-T%E1%BB%91t-i.39413762.7962500323
