id	name	avg_rating	n_reviews	n_sold	price	n_loved	n_rate_5	rate_4	rate_3	rate_2	rate_1	rate_with_cmt	rate_with_imgvid	shop_name	shop_n_review	shop_n_product	shop_rate_feedback	shop_time_feedback	shop_age	shop_follower
68	Máy tính bảng iPAD 4 16G chính hãng APPLE - Tặng bao da	4.7	299.0	599.0	2048000.0	788.0	60.0	7.0	5.0	1.0	2.0	43.0	15.0	thelinhstore	18000.0	457.0	75%	trong vài giờ	36 tháng trước	47400.0
69	Máy đọc sách All new Kindle PaperWhite gen 4 2019 (10th) tặng cover hoặc bao chống sốc	5.0	52.0	115.0	2800000.0	52.0	27.0	1.0	0.0	0.0	0.0	15.0	12.0	nguyenhuy.bk	541.0	139.0	89%	trong vài giờ	4 năm trước	1200.0
70	iPad mini 5 64G WIFI MỚI 100% HÀNG CHÍNH HÃNG, CHƯA ACTIVE	4.9	70.0	121.0	9300000.0	216.0	68.0	0.0	1.0	0.0	1.0	36.0	30.0	thaiduongiphone	712.0	96.0	98%	trong vài phút	20 tháng trước	7400.0
71	MÁY TÍNH BẢNG ANDROID 7IN 3G-WIFI	4.2	65.0	256.0	599000.0	722.0	28.0	3.0	2.0	0.0	5.0	28.0	7.0	66phuonganh	247.0	72.0	77%	trong vài phút	26 tháng trước	1400.0
72	Máy tính bảng Apple ipad mini đẹp keng 99%	4.9	48.0	108.0	350000.0	738.0	46.0	1.0	0.0	0.0	1.0	20.0	11.0	duongbimbimm	1500.0	147.0	95%	trong vài giờ	13 tháng trước	8500.0
73	Máy tính bảng iPad 3 chính hãng APPLE - Tặng Bao Da SmartCover	4.8	180.0	356.0	1398000.0	506.0	79.0	5.0	0.0	1.0	0.0	52.0	28.0	thelinhstore	18000.0	457.0	75%	trong vài giờ	36 tháng trước	47400.0
74	Máy tính bảng Huawei MediaPad T3 10 (2017)	4.8	53.0	100.0	3990000.0	133.0	44.0	6.0	0.0	1.0	1.0	32.0	21.0	huawei_flagship_store	2400.0	38.0	100%	trong vài phút	26 tháng trước	46500.0
75	iPad 3 CHÍNH HÃNG Apple bản wifi 16GB Bh 6 THÁNG 1 đổi 1 tại nhà trong 30 ngày	4.7	202.0	431.0	1790000.0	4500.0	161.0	14.0	7.0	3.0	5.0	124.0	60.0	bongnam1416	5300.0	66.0	94%	trong vài giờ	4 năm trước	19400.0
76	Máy Tính Bảng iPad Mini 1 (4G + Wifi) 16/32/64Gb - Zin Đẹp 99% - Phụ kiện đầy đủ	4.9	145.0	268.0	2290000.0	860.0	85.0	1.0	0.0	0.0	1.0	47.0	29.0	beha1989	4600.0	222.0	97%	trong vài giờ	5 năm trước	76100.0
77	Máy đọc sách Kindle PaperWhite gen 4 (10th) chính hãng - Nguyên seal mới 100%	5.0	8.0	33.0	2500000.0	18.0	8.0	0.0	0.0	0.0	0.0	5.0	3.0	3819store	39.0	9.0	98%	trong vài phút	3 năm trước	139.0
78	Máy tính bảng ipad 4 chính hãng, quốc tế phiên bản Wifi + 3G; tặng full phụ kiện, cường lực bao da, học tập, chơi game..	4.8	151.0	306.0	1199300.0	406.0	108.0	6.0	2.0	1.0	1.0	73.0	49.0	thang.chac2	2300.0	33.0	91%	trong vài giờ	28 tháng trước	6000.0
79	Máy đọc sách Kindle Voyage used máy đẹp	5.0	47.0	85.0	1900000.0	46.0	24.0	1.0	0.0	0.0	0.0	19.0	12.0	vbookshop	856.0	20.0	97%	trong vài phút	27 tháng trước	908.0
80	Máy đọc sách kindle paperwhite gen 3 4GB tặng kèm cover	5.0	29.0	60.0	2100000.0	23.0	13.0	0.0	0.0	0.0	0.0	7.0	7.0	nguyenhuy.bk	541.0	139.0	89%	trong vài giờ	4 năm trước	1200.0
